Title	Category		Filename	URL	Date Created	Date
Ep 1 - Introduction to Mormonism and Joseph Smith	History	https://nakedmormonismpodcast.com/episode-1-introduction-mormonism-joseph-smith/	Episode 1 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep1-introduction-to-mormonism-and-joseph-smith		11/9/2014 0:55:58
Ep 2 - Emma Smith Blushing Bride Mafia Wife	History	https://nakedmormonismpodcast.com/episode-2-emma-smith-blushing-bride-mafia-wife/	Episode 2 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep2-emma-smith-blushing-bride-mafia-wife		11/9/2014 1:37:47
Ep 3 - Introduction to Martin Harris (Not-So-Smarty-Marty)	History	https://nakedmormonismpodcast.com/episode-3-introduction-martin-harris-not-smarty-marty/	Episode 3 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep3-martin-harris-not-so-smarty-marty-pt1		11/9/2014 1:56:37
Ep 4 - Martin Harris Pt.2 Meeting of the Minds	History	https://nakedmormonismpodcast.com/episode-4-martin-harris-pt-2-meeting-minds/	Episode 4 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep4-martin-harris-pt2-meeting-of-the-minds		11/9/2014 2:09:42
Ep 5 - Introduction to Oliver Cowdery (Cowdung-Ollover)	History	https://nakedmormonismpodcast.com/episode-5-introduction-oliver-cowdery-cowdung-ollover/	Episode 5 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep5-oliver-cowdery-cowdung-allover-and-joes-mutual-bapturbation-ritual		11/9/2014 2:39:07
Ep 6 - Polygamy Special	History	https://nakedmormonismpodcast.com/episode-6-polygamy-special-pt-1/	Episode 6 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep6-polygamy-special	Fri, 21 Nov 2014 05:29:25 +0000	11/21/2014 5:29:25
Ep 7 - Polygamy Special Pt. 2 Joe and all his bro’s and their hoe’s!	History	https://nakedmormonismpodcast.com/episode-7-polygamy-special-pt-2/	Episode 7 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep7-polygamy-special-pt-2-joe-and-all-his-bros-and-their-hoes	Sat, 06 Dec 2014 19:43:03 +0000	12/6/2014 19:43:03
Ep 8 - D-Day David Whitmer’s Grand Introduction, Hiram Page’s Rise and Fall	History	https://nakedmormonismpodcast.com/episode-8-d-day-david-whitmers-grand-introduction-hiram-pages-rise-fall/	Episode 8 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep8-d-day-david-whitmers-grand-introduction-hiram-pages-rise-and-fall	Fri, 19 Dec 2014 04:00:00 +0000	12/19/2014 4:00:00
Ep 9 - Joseph’s super powered knockout punches of DOOM!!!	History	https://nakedmormonismpodcast.com/episode-9-josephs-super-powered-knockout-punches-doom/	Episode 9 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep9-josephs-super-powered-knockout-punches-of-doom	Fri, 02 Jan 2015 16:00:00 +0000	1/2/2015 16:00:00
Ep 10 - Joseph Smith, Palmyra Pariah	History	https://nakedmormonismpodcast.com/episode10-joseph-smith-palmyra-pariah/	Episode 10 Notes.odt.markdown	https://nakedmormonismpodcast.libsyn.com/ep10-joseph-smith-palmyra-pariah	Fri, 16 Jan 2015 05:29:06 +0000	1/16/2015 5:29:06
